"Apellido","Nombre","Distrito","IniciaMandato","FinalizaMandato","Bloque"
"Aguirre","Hilda Clelia","LA RIOJA","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Aguirre","Manuel Ignacio","CORRIENTES","10/12/2021","09/12/2025","UCR"
"Ajmechet","Sabrina","CIUDAD DE BUENOS AIRES","10/12/2021","09/12/2025","PRO"
"Alderete","Juan Carlos","BUENOS AIRES","19/12/2019","09/12/2023","FRENTE DE TODOS"
"Alianiello","Eugenia","CHUBUT","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Allende","Walberto","SAN JUAN","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Alonso","Constanza María","BUENOS AIRES","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Álvarez","Felipe","LA RIOJA","10/12/2019","09/12/2023","SER - SOMOS ENERGIA PARA RENOVAR"
"Amaya","Domingo Luis","TUCUMAN","10/12/2019","09/12/2023","ENCUENTRO FEDERAL"
"Angelini","Federico","SANTA FE","10/12/2019","09/12/2023","PRO"
"Antola","Marcela","ENTRE RIOS","10/12/2021","09/12/2025","EVOLUCION RADICAL"
"Aparicio","Alicia N.","BUENOS AIRES","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Arjol","Martín","MISIONES","10/12/2021","09/12/2025","UCR"
"Arricau","Carolina Natalia","BUENOS AIRES","01/12/2022","09/12/2023","FRENTE DE TODOS"
"Arroyo","Daniel","BUENOS AIRES","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Ascarate","Lidia Inés","TUCUMAN","10/12/2019","09/12/2023","UCR"
"Asseff","Alberto","BUENOS AIRES","10/12/2019","09/12/2023","PRO"
"Aubone","Ana Fabiola","SAN JUAN","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Bachey","Karina Ethel","SAN LUIS","10/12/2021","09/12/2025","PRO"
"Baldassi","Héctor W.","CORDOBA","10/12/2021","09/12/2025","PRO"
"Banfi","Karina","BUENOS AIRES","10/12/2019","09/12/2023","UCR"
"Barbaro","Héctor 'Cacho'","MISIONES","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Barletta","Mario","SANTA FE","10/12/2021","09/12/2025","UCR"
"Bazze","Miguel Ángel","BUENOS AIRES","10/12/2019","09/12/2023","UCR"
"Benedetti","Atilio","ENTRE RIOS","05/07/2023","09/12/2025","UCR"
"Berhongaray","Martín Antonio","LA PAMPA","10/12/2019","09/12/2023","EVOLUCION RADICAL"
"Bermejo","Adolfo","MENDOZA","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Bertoldi","Tanya","NEUQUEN","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Bertone","Rosana Andrea","TIERRA DEL FUEGO","10/12/2019","09/12/2023","FRENTE DE TODOS"
